hex(SHA1(advertiser_id))	timestamp	latitude	longitude	altitude	speed	ipv_4	ipv_6	country	user_agent	wifi_ssid	wifi_bssid	geohash_12	iso_date	device_mac	oui_vendor
9D10F28979A0C4F3E61541F9DF9C3CDF8B4FE3B1	1584959410	-36.788677	-59.863903	0	0	190.244.9.139	FE80::CA07:4522:206:A622	AR	"Mozilla/5.0 (Linux; Android 9; SM-A505G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.149 Mobile Safari/537.36"	"Fibertel WiFi876"	0c:54:a5:20:07:b6	69mqtyb6mvw6	2020-03-23		
9D10F28979A0C4F3E61541F9DF9C3CDF8B4FE3B1	1584960706	-36.78843	-59.863693	160.3	0	190.244.9.139		AR	"Mozilla/5.0 (Linux; Android 9; SM-A505G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.149 Mobile Safari/537.36"	<unknown ssid>	<unknown bssid>	69mqtybefgd2	2020-03-23		
9D10F28979A0C4F3E61541F9DF9C3CDF8B4FE3B1	1584962466	-36.96218	-60.261616	208.3	0	190.244.9.139		AR	"Mozilla/5.0 (Linux; Android 9; SM-A505G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.149 Mobile Safari/537.36"	<unknown ssid>	<unknown bssid>	69mjsxnzdw1k	2020-03-23		
9D10F28979A0C4F3E61541F9DF9C3CDF8B4FE3B1	1584963217	-36.96206	-60.26163	0	0	190.244.9.139		AR	"Mozilla/5.0 (Linux; Android 9; SM-A505G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.149 Mobile Safari/537.36"	<unknown ssid>	<unknown bssid>	69mjsxqb6hwq	2020-03-23		
9D10F28979A0C4F3E61541F9DF9C3CDF8B4FE3B1	1584963795	-36.88255	-60.176502	185.3	0	190.244.9.139		AR	"Mozilla/5.0 (Linux; Android 9; SM-A505G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.149 Mobile Safari/537.36"	<unknown ssid>	<unknown bssid>	69mnntsz9f5z	2020-03-23		
9D10F28979A0C4F3E61541F9DF9C3CDF8B4FE3B1	1584965760	-36.85664	-60.069134	0	0	190.244.9.139		AR	"Mozilla/5.0 (Linux; Android 9; SM-A505G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.149 Mobile Safari/537.36"	<unknown ssid>	<unknown bssid>	69mq346yxb0p	2020-03-23		
9D10F28979A0C4F3E61541F9DF9C3CDF8B4FE3B1	1584994911	-36.788696	-59.863934	0	0	190.244.9.139	FE80::CA07:4522:206:A622	AR	"Mozilla/5.0 (Linux; Android 9; SM-A505G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.149 Mobile Safari/537.36"	"Fibertel WiFi876"	0c:54:a5:20:07:b6	69mqtyb6m1zf	2020-03-23		
9D10F28979A0C4F3E61541F9DF9C3CDF8B4FE3B1	1585005327	-36.788696	-59.863934	0	0	190.244.9.139	FE80::CA07:4522:206:A622	AR	"Mozilla/5.0 (Linux; Android 9; SM-A505G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.149 Mobile Safari/537.36"	"Fibertel WiFi876"	0c:54:a5:20:07:b6	69mqtyb6m1zf	2020-03-23		
9D10F28979A0C4F3E61541F9DF9C3CDF8B4FE3B1	1585006265	-36.788696	-59.863934	0	0	190.244.9.139	FE80::CA07:4522:206:A622	AR	"Mozilla/5.0 (Linux; Android 9; SM-A505G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.149 Mobile Safari/537.36"	"Fibertel WiFi876"	0c:54:a5:20:07:b6	69mqtyb6m1zf	2020-03-23		
9D10F28979A0C4F3E61541F9DF9C3CDF8B4FE3B1	1585006903	-36.788696	-59.863934	0	0	190.244.9.139	FE80::CA07:4522:206:A622	AR	"Mozilla/5.0 (Linux; Android 9; SM-A505G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/80.0.3987.149 Mobile Safari/537.36"	"Fibertel WiFi876"	0c:54:a5:20:07:b6	69mqtyb6m1zf	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584924036	-34.593212	-58.40194	36.3	1.823107	181.28.137.157		AR	9			69y7pn3pbjx4	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584925057	-34.593155	-58.402206	36.3	0	181.28.137.157		AR	9			69y7pn8b3bxk	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584938541	-34.59313	-58.402252	0	0	181.28.137.157		AR	9			69y7pn8b2vkx	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584942337	-34.593105	-58.402184	0	0	181.28.137.157		AR	9			69y7pn8bd9bv	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584944706	-34.593094	-58.402184	0	0.0055070613	181.28.137.157		AR	9			69y7pn8bd7yu	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584947807	-34.59312	-58.40221	0	0	181.28.137.157		AR	9			69y7pn8b3yg8	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584952506	-34.59312	-58.40221	0	0	181.28.137.157		AR	9			69y7pn8b3yg8	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584956101	-34.59312	-58.40221	0	0	181.28.137.157		AR	9			69y7pn8b3yg8	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584962242	-34.59312	-58.40221	0	0	181.28.137.157		AR	9			69y7pn8b3yg8	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584966883	-34.59312	-58.40221	0	0	181.28.137.157		AR	9			69y7pn8b3yg8	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584973147	-34.59062	-58.40055	0	0	181.9.121.117		AR	9			69y7pnfp0966	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584975369	-34.593178	-58.40212	36.399998	0	181.9.121.117		AR	9			69y7pn8bhh2w	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584978912	-34.593178	-58.4021	36.3	0	181.28.137.157		AR	9			69y7pn8bh7yx	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584992334	-34.593136	-58.402084	36.399998	0.010637758	181.28.137.157		AR	9			69y7pn8bku1p	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584995112	-34.59314	-58.402237	35.699997	0	181.28.137.157		AR	9			69y7pn8b378e	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1584998241	-34.593132	-58.40224	35.699997	0	181.28.137.157		AR	9			69y7pn8b3hvp	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1585003983	-34.593132	-58.40224	35.699997	0	181.28.137.157		AR	9			69y7pn8b3hvp	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1585005124	-34.593197	-58.402042	35.3	0.2693122	181.28.137.157		AR	9			69y7pn8bjb86	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1585006586	-34.593163	-58.402157	35.8	0	181.28.137.157		AR	9			69y7pn8b5nuj	2020-03-23		
9AC1D8C4C40BB73A1699D49002A86AF1E25E9B69	1585007845	-34.593155	-58.402195	36.5	0	181.28.137.157		AR	9			69y7pn8b60zg	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584922756	-36.26797	-63.16646	134.5	0	181.114.198.83		AR	9			69e1dteefb7n	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584923398	-36.26797	-63.16646	134.5	0	181.114.198.83		AR	9			69e1dteefb7n	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584924004	-36.26797	-63.16646	134.5	0	181.114.198.83		AR	9			69e1dteefb7n	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584929292	-36.26796	-63.16649	134.5	1.3680851	181.114.198.83		AR	9			69e1dteef47n	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584930838	-36.26797	-63.16646	134.5	0	181.114.198.83		AR	9			69e1dteefb7n	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584935094	-36.26788	-63.166653	134.5	0	181.114.198.83		AR	9			69e1dtekq38b	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584935834	-36.267853	-63.16663	134.5	0	181.114.198.83		AR	9			69e1dtekqvuq	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584938941	-36.26784	-63.166603	134.5	0	181.114.198.83		AR	9			69e1dtekx884	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584952747	-36.267902	-63.16661	134.5	0	181.114.198.83		AR	9			69e1dtekpk9h	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584956255	-36.26784	-63.166603	134.5	0	181.114.198.83		AR	9			69e1dtekx884	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584956911	-36.267864	-63.16669	134.5	1.0084707	181.114.198.83		AR	9			69e1dtekmkqe	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584964750	-36.264957	-63.162224	125.841064	2.9150136	186.141.200.205		AR	9			69e1dwntm6r0	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584968648	-36.267883	-63.16648	134.5	0.0023867346	181.114.198.83		AR	9			69e1dtes6260	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584981213	-35.812874	-61.897186	107.9	0	186.141.200.143		AR	9			69eur2rygh2j	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584984195	-35.859814	-62.13039	0	0	186.141.198.1		AR	9			69egfpyj2vyr	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584988191	-36.272354	-63.154526	135.90001	3.7557821	186.141.198.1		AR	9			69e1duu60zhq	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584988824	-36.270115	-63.16799	134.90001	0	186.141.198.1		AR	9			69e1dt4rr0ek	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584988915	-36.270073	-63.167866	134.90001	0	186.141.198.1		AR	9			69e1dt4xd09j	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584992812	-36.26797	-63.16646	134.5	0	181.114.198.83		AR	9			69e1dteefb7n	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584995488	-36.26797	-63.16646	134.5	0	181.114.198.83		AR	9			69e1dteefb7n	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584996153	-36.26797	-63.16646	134.5	0	181.114.198.83		AR	9			69e1dteefb7n	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584996873	-36.26797	-63.16646	134.5	0	181.114.198.83		AR	9			69e1dteefb7n	2020-03-23		
2EAD6B4163771A068301853EE9802EC8B18958FB	1584999433	-36.26797	-63.16646	134.5	0	181.114.198.83		AR	9			69e1dteefb7n	2020-03-23		
FBA1018153EC88F87DBC79A8F1F850B2F4A96BED	1584921736	-34.643963	-58.668427	0	0	190.244.73.211		AR	9			69y6bvqbq8fj	2020-03-23		
